Item,Description,Dim,Dimension,GDim,Tipo,Unit
Item_88,AVOCADO OIL 500ml,1102,Aceite Aguacate,Abarrotes,Venta,PZ
Item_89,AVOCADO OIL 1L,1102,Aceite Aguacate,Abarrotes,Venta,PZ
Item_90,COCOON OIL 12PZ/945,1103,Aceites,Abarrotes,Venta,LT
Item_91,BLACK CARBONELL OLIVE,1104,Aceitunas,Abarrotes,Venta,PZ
Item_92,CALIFORNIA STAR OLIVE 1 KG,1104,Aceitunas,Abarrotes,Venta,KG
Item_93,CALIFORN STAR OLIVES 120 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_94,CALIFORN STAR OLIVES 250 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_95,CALIFORN STAR OLIVES 450 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_96,CALIFORNI STAR OLIVES 60 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_97,STUFFED CALIFORN STAR OLIVES,1104,Aceitunas,Abarrotes,Venta,PZ
Item_98,STUFFED CALIFORN STAR OLIVES,1104,Aceitunas,Abarrotes,Venta,PZ
Item_99,STUFFED CALIFORN STAR OLIVES,1104,Aceitunas,Abarrotes,Venta,PZ
Item_100,CALIFORNIA STAR S/H OLIVE,1104,Aceitunas,Abarrotes,Venta,PZ
Item_101,CALIFORNIA STAR S/H OLIVE,1104,Aceitunas,Abarrotes,Venta,PZ
Item_102,CALIFORNIA STAR S/H OLIVE,1104,Aceitunas,Abarrotes,Venta,PZ
Item_103,STUFFED OLIVE,1104,Aceitunas,Abarrotes,Venta,KG
Item_104,OLIVE SLICES 12KG,1104,Aceitunas,Abarrotes,Venta,KG
Item_105,PONELESS OLIVE,1104,Aceitunas,Abarrotes,Venta,KG
Item_106,VERMEX OLIVE 1 KG,1104,Aceitunas,Abarrotes,Venta,PZ
Item_107,VERMEX OLIVE 120 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_108,VERMEX OLIVE 240 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_109,VERMEX OLIVE 60 GMS,1104,Aceitunas,Abarrotes,Venta,PZ
Item_110,BLACK VERMEX OLIVE 1 KG,1104,Aceitunas,Abarrotes,Venta,PZ
Item_111,STUFFED VERMEX OLIVE 1 KG,1104,Aceitunas,Abarrotes,Venta,PZ
Item_112,VERMEX OLIVE FILLED 250 ML,1104,Aceitunas,Abarrotes,Venta,PZ
Item_113,VERMEX OLIVE WITHOUT PITLE 1 KG,1104,Aceitunas,Abarrotes,Venta,PZ
Item_114,VERMEX OLIVE WITHOUT PITLE,1104,Aceitunas,Abarrotes,Venta,PZ
Item_115,GORDAL OLIVE OLIVES,1104,Aceitunas,Abarrotes,Venta,KG
Item_116,OLIVE BARREL NUM 4 C/15K,1104,Aceitunas,Abarrotes,Venta,KG
Item_117,OLIVE OLIVES WITHOUT BONE C/13K,1104,Aceitunas,Abarrotes,Venta,KG
Item_118,STUFFED OLIVE OLIVES C/15K,1104,Aceitunas,Abarrotes,Venta,KG
Item_119,OLIVE OLIVES SLICE C/15K,1104,Aceitunas,Abarrotes,Venta,KG
Item_120,MEDIUM OLIVE W/5KILOS,1104,Aceitunas,Abarrotes,Venta,KG
Item_121,OLIVE C/H #3 C/12KG,1104,Aceitunas,Abarrotes,Venta,KG
Item_122,OLIVE C/H NUM 4-2 NEW,1104,Aceitunas,Abarrotes,Venta,KG
Item_123,LARGE PITLELESS OLIVES 12K,1104,Aceitunas,Abarrotes,Venta,KG
Item_124,Achiote Anita 1 KG,1212,Achiotes,Abarrotes,Venta,PZ
Item_125,ANITA ACHIOTE 110 GMS,1212,Achiotes,Abarrotes,Venta,PZ
Item_126,ACHIOTE EL CRIOLLO 1 KG,1212,Achiotes,Abarrotes,Venta,PZ
Item_127,ACHIOTE EL CRIOLLO 110 GMS,1212,Achiotes,Abarrotes,Venta,PZ
Item_128,ACHIOTE MERIDA 1 KG,1212,Achiotes,Abarrotes,Venta,PZ
Item_129,ACHIOTE MERIDA 110 GMS,1212,Achiotes,Abarrotes,Venta,PZ
Item_130,YUCATECAN ACHIOTE 1 KG,1212,Achiotes,Abarrotes,Venta,PZ
Item_131,ACHIOTE YUCATECO 100 GMS,1212,Achiotes,Abarrotes,Venta,PZ
Item_132,ACHIOTE SEED,8020,Achiote,Semillas,Venta,KG
Item_133,MARIN ACHIOTE 1KG,1212,Achiotes,Abarrotes,Venta,PZ
Item_134,ACHIOTE MARIN 110 GR,1212,Achiotes,Abarrotes,Venta,PZ
Item_135,CHILMOLE,1212,Achiotes,Abarrotes,Venta,KG
Item_136,CHILMOLE ANITA 50 PZ,1212,Achiotes,Abarrotes,Venta,PZ
Item_137,GROUND ACHIOTE B/25K,5004,Especias M,Producción,Procesadora,KG
Item_138,ANITA HABANERO ACHIOTE 110GMS,1212,Achiotes,Abarrotes,Venta,PZ
Item_139,CITRIC ACID,1503,[M] Aditivos,Abarrotes,Venta,KG
Item_140,ACETIC ACID,1401,Abarrote S/C,Abarrotes,Venta,LT
Item_141,DON PANCHO ADOBO 5 KG,3055,Moles DP,Especias,Venta,KG
Item_142,DON PANCHO ADOBO 10 KG,3055,Moles DP,Especias,Venta,KG
Item_143,DON PANCHO ADOBO 20 KG,3055,Moles DP,Especias,Venta,PZ
Item_144,ACHIOTE MARINADE 1 KG,1212,Achiotes,Abarrotes,Venta,KG
Item_145,CLASS,9001,Verduras,Frutas y verduras,Venta,KG
Item_146,AJINOMOTO,3012,Ajinomoto,Especias,Venta,KG
Item_147,LARGE WHOLE GARLIC,9001,Verduras,Frutas y verduras,Venta,KG
Item_148,GROUND GARLIC WITH SALT,5007,Molidos,Producción,Procesadora,KG
Item_149,GROUND GARLIC WITHOUT SALT,5007,Molidos,Producción,Procesadora,KG
Item_150,PURPLE GARLIC,9001,Verduras,Frutas y verduras,Venta,KG
Item_151,ITALIAN AJO,9001,Verduras,Frutas y verduras,Venta,KG
Item_152,COME EYES,9001,Verduras,Frutas y verduras,Venta,KG
Item_153,GARLIC WITH SALT STRIP WITH 30 PCS,5007,Molidos,Producción,Procesadora,KG
Item_154,WHITE SESAME INES 25 KG,8001,Ajonjoli,Semillas,Venta,KG
Item_155,CREAMY SESAME ACAPULC 25 KG,8001,Ajonjoli,Semillas,Venta,KG
Item_156,SESAME WITHOUT CUTICLE 25 KG,8001,Ajonjoli,Semillas,Venta,KG
Item_157,BLACK SESAME 25 KG,8001,Ajonjoli,Semillas,Venta,KG
Item_158,GENERIC WHITE SESAME,8001,Ajonjoli,Semillas,Venta,KG
Item_159,YENS GARAPINATED SESAME,8001,Ajonjoli,Semillas,Venta,KG
Item_160,SESAME MACARENA,8001,Ajonjoli,Semillas,Venta,KG
Item_161,SESAME WITHOUT CUTICLE 1A 25 KG,8001,Ajonjoli,Semillas,Venta,KG
Item_162,SESAME PASTE,8001,Ajonjoli,Semillas,Venta,KG
Item_163,WHITE SESAME B/25K,8001,Ajonjoli,Semillas,Venta,KG
Item_164,CANDY SESAME,5030,Dulces,Producción,Procesadora,PZ
Item_165,EXTRA WASHED SESAME 25KG,8001,Ajonjoli,Semillas,Venta,KG
Item_166,WHOLE BOY GARLIC,9001,Verduras,Frutas y verduras,Venta,KG
Item_167,ALBERJON BTO 45.36 KG,8014,Alberjon,Semillas,Venta,KG
Item_168,ALCAPARRA CALIFORNIA STAR 60GM,1105,Alcaparras,Abarrotes,Venta,PZ
Item_169,CAPER CALIFORNIA STAR,1105,Alcaparras,Abarrotes,Venta,PZ
Item_170,ALCAPARRA CALIFORNIA STAR 250G,1105,Alcaparras,Abarrotes,Venta,PZ
Item_171,CAPER CALIFORNIA STAR,1105,Alcaparras,Abarrotes,Venta,PZ
Item_172,CALIFORNIA STAR CAPER 1KG,1105,Alcaparras,Abarrotes,Venta,PZ
Item_173,CAPER VERMEX 60 GMS,1105,Alcaparras,Abarrotes,Venta,PZ
Item_174,CAPER VERMEX 120 GMS,1105,Alcaparras,Abarrotes,Venta,PZ
Item_175,VERMEX CAPER 1 KG,1105,Alcaparras,Abarrotes,Venta,PZ
Item_176,BULK CAPER,1105,Alcaparras,Abarrotes,Venta,KG
Item_177,JOYS,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_178,FOOD FOR FIGHTING ROOSTER,1222,Aves,Abarrotes,Venta,KG
Item_179,FOOD FOR ADULT DOG,1222,Aves,Abarrotes,Venta,PZ
Item_180,FOOD FOR PUPPY DOG,1222,Aves,Abarrotes,Venta,Pz
Item_181,VITAMINED FOOD,1222,Aves,Abarrotes,Venta,PZ
Item_182,COMPLEMENT FOOD FOR HIM,1222,Aves,Abarrotes,Venta,PZ
Item_183,STIMULATING FOOD FOR,1222,Aves,Abarrotes,Venta,PZ
Item_184,SINGING RESTORATIVE FOOD,1222,Aves,Abarrotes,Venta,PZ
Item_185,CUP FOOD,1222,Aves,Abarrotes,Venta,PZ
Item_186,VITACLARIN FOOD,1222,Aves,Abarrotes,Venta,PZ
Item_187,CROWD FOR CANARIES,1222,Aves,Abarrotes,Venta,PZ
Item_188,PALANQUETA PARAQUITOES,1222,Aves,Abarrotes,Venta,PZ
Item_189,"CROWD FOR PARROTS, COCKATOAS",1222,Aves,Abarrotes,Venta,PZ
Item_190,EXTRA FOOD ADDED,1222,Aves,Abarrotes,Venta,PZ
Item_191,PALANQUETA HAMSTERS VITAMINADA,1222,Aves,Abarrotes,Venta,PZ
Item_192,ALMENDRA 18/20 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_193,ALMOND 18/20 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_194,ALMOND 18/20 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_195,ALMOND 18/20 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_196,ALMOND 18/20 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_197,ALMOND 18/20 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_198,ALMOND 20/22 NPS EXT1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_199,ALMOND 20/22 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_200,ALMOND 20/22 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_201,ALMOND 20/22 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_202,ALMOND 20/22 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_203,ALMOND 20/22 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_204,ALMENDRA 22/24 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_205,ALMOND 22/24 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_206,ALMOND 22/24 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_207,ALMOND 22/24 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_208,ALMOND 22/24 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_209,ALMOND 22/24 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_210,ALMENDRA 23/25 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_211,ALMOND 23/25 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_212,ALMOND 23/25 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_213,ALMOND 23/25 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_214,ALMOND 23/25 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_215,ALMOND 23/25 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_216,ALMENDRA 25/27 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_217,ALMOND 25/27 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_218,ALMOND 25/27 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_219,ALMOND 25/27 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_220,ALMOND 25/27 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_221,ALMOND 25/27 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_222,ALMENDRA 27/30 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_223,ALMOND 27/30 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_224,ALMOND 27/30 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_225,ALMOND 27/30 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_226,ALMOND 27/30 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_227,ALMOND 27/30 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_228,ALMENDRA 30/32 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_229,ALMOND 30/32 NPS 22.68k,6010,Almendra,Nueces y Almendras,Venta,KG
Item_230,ALMOND 30/32 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_231,ALMOND 30/32 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_232,ALMOND 30/32 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_233,ALMOND 30/32 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_234,ALMENDRA 32/34 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_235,ALMOND 32/34 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_236,ALMOND 32/34 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_237,ALMOND 32/34 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_238,ALMOND 32/34 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_239,ALMOND 32/34 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_240,ALMENDRA 34/36 NPS EXT 1,6010,Almendra,Nueces y Almendras,Venta,KG
Item_241,ALMOND 34/36 NPS,6010,Almendra,Nueces y Almendras,Venta,KG
Item_242,ALMOND 34/36 NP,6010,Almendra,Nueces y Almendras,Venta,KG
Item_243,ALMOND 34/36 CARMEL,6010,Almendra,Nueces y Almendras,Venta,KG
Item_244,ALMOND 34/36 SONORA,6010,Almendra,Nueces y Almendras,Venta,KG
Item_245,ALMOND 34/36 MISSION,6010,Almendra,Nueces y Almendras,Venta,KG
Item_246,CANDIED ALMOND CAKE,5030,Dulces,Producción,Procesadora,KG
Item_247,CANDIED ALMOND 3 COLORS,5030,Dulces,Producción,Procesadora,KG
Item_248,CANDIED ALMOND 6 COLORS,5030,Dulces,Producción,Procesadora,KG
Item_249,CHRISTMAS CANDIED ALMOND,5030,Dulces,Producción,Procesadora,KG
Item_250,ALMOND POWDER EXT C/11.34K,6010,Almendra,Nueces y Almendras,Venta,KG
Item_251,WHOLE ALMOND BBQ,6010,Almendra,Nueces y Almendras,Venta,KG
Item_252,WHOLE ALMOND WITHOUT CUTICLE,6010,Almendra,Nueces y Almendras,Venta,KG
Item_253,TOASTED WHOLE ALMOND,6010,Almendra,Nueces y Almendras,Venta,KG
Item_254,FILLETED ALMOND c/11.34,6010,Almendra,Nueces y Almendras,Venta,KG
Item_255,FILLETED ALMOND WITH,6010,Almendra,Nueces y Almendras,Venta,KG
Item_256,FRENCH POTATO ALMOND,6010,Almendra,Nueces y Almendras,Venta,KG
Item_257,GENERIC ALMOND GRAIN,6010,Almendra,Nueces y Almendras,Venta,KG
Item_258,GRAINED ALMOND WITH CUTICLE,6010,Almendra,Nueces y Almendras,Venta,KG
Item_259,PELADILLA ALMOND,5030,Dulces,Producción,Procesadora,KG
Item_260,ALMOND POWDER 1A,6010,Almendra,Nueces y Almendras,Venta,KG
Item_261,ALMENDRA GRENILLO S/C,6010,Almendra,Nueces y Almendras,Venta,KG
Item_262,WHOLE ALMOND WITHOUT CUTICLE,6010,Almendra,Nueces y Almendras,Venta,KG
Item_263,ALMOND WITH CHOCOLATE,5030,Dulces,Producción,Procesadora,KG
Item_264,ALMENDRA 20/22 NPS 11.34K,6010,Almendra,Nueces y Almendras,Venta,KG
Item_265,COMPOSITE CANARY SEED,8013,Alpiste,Semillas,Venta,KG
Item_266,SIMPLE CANARY SEED,8013,Alpiste,Semillas,Venta,KG
Item_267,GIRL BEAN BT 45.36 KG,8015,Alubia,Semillas,Venta,KG
Item_268,BIG BEAN,8015,Alubia,Semillas,Venta,KG
Item_269,ALUMINUM 400/6PZ,1219,Aluminio,Abarrotes,Venta,PZ
Item_270,TOASTED AMARANTH,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_271,CARAMEL AMARANTH,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_272,CHOCOLATE PUFFED AMARANTH,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_273,AMARANTH YENS 400GMS W/HONEY,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_274,VANILLA PUFFED AMARANTH,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_275,STAR ANISE,3001,Anis,Especias,Venta,KG
Item_276,IMPORTED WHOLE ANISE,3001,Anis,Especias,Venta,KG
Item_277,GROUND ANISE,5004,Especias M,Producción,Procesadora,KG
Item_278,WHOLE NATIONAL ANISE,3001,Anis,Especias,Venta,KG
Item_279,GROUND CELERY,5004,Especias M,Producción,Procesadora,KG
Item_280,BLUEBERRY,4012,Arandano,Frutas Secas,Venta,KG
Item_281,ARANDANO OCEAN SPRAY C/11.34,4012,Arandano,Frutas Secas,Venta,KG
Item_282,BLUEBERRY WITH CHOCOLATE,5030,Dulces,Producción,Procesadora,KG
Item_283,BLUEBERRY WITH WHITE CHOC,5030,Dulces,Producción,Procesadora,KG
Item_284,COVADONGA RICE BTO/25KG,8002,Arroz,Semillas,Venta,KG
Item_285,ARROZ SCHETTINO B/25k,8002,Arroz,Semillas,Venta,KG
Item_286,BROWN RICE b/25k,8002,Arroz,Semillas,Venta,KG
Item_287,OLE RICE 25 KG,8002,Arroz,Semillas,Venta,KG
Item_288,HALF GRAIN RICE,8002,Arroz,Semillas,Venta,KG
Item_289,SUPER EXTRA EL MORO RICE,8002,Arroz,Semillas,Venta,KG
Item_290,SOVEREIGN RICE,8002,Arroz,Semillas,Venta,KG
Item_291,RISOTO RICE,8002,Arroz,Semillas,Venta,KG
Item_292,MORELOS RICE 1KG,8002,Arroz,Semillas,Venta,KG
Item_293,WILD RICE PZ/908GMS,8002,Arroz,Semillas,Venta,PZ
Item_294,BASMATIL RICE,8002,Arroz,Semillas,Venta,KG
Item_295,WILD RICE,8002,Arroz,Semillas,Venta,KG
Item_296,EXTRA MAGUEY RICE,8002,Arroz,Semillas,Venta,KG
Item_297,do not use key,8002,Arroz,Semillas,Venta,KG
Item_298,SAMAN RICE 25KG EXTRA,8002,Arroz,Semillas,Venta,KG
Item_299,UNBRANDED RICE C/25 KGS,8002,Arroz,Semillas,Venta,KG
Item_300,CIMMARRON RICE 25KG EXTRA,8002,Arroz,Semillas,Venta,KG
Item_301,EXTR GUADALUPAN RICE 1KG,8002,Arroz,Semillas,Venta,KG
Item_302,PRECOOKED RICE b/25K,8002,Arroz,Semillas,Venta,KG
Item_303,ARROZ PARA SHUSHI,8002,Arroz,Semillas,Venta,KG
Item_304,BROKEN RICE,8002,Arroz,Semillas,Venta,KG
Item_305,VEREDA RICE B/25K,8002,Arroz,Semillas,Venta,KG
Item_306,ATE,9002,Dulces,Frutas y verduras,Venta,KG
Item_307,ANCHOR TUNA 48/170,1224,Abarrotes,Abarrotes,Venta,PZ
Item_308,BIG PAIN WATER 48/140GMS,1224,Abarrotes,Abarrotes,Venta,PZ
Item_309,DO NOT USE,1224,Abarrotes,Abarrotes,Venta,Pz
Item_310,HAZELNUT WITH PEEL,6020,Avellana,Nueces y Almendras,Venta,KG
Item_311,HAZELNUT PEELED TURKEY,6020,Avellana,Nueces y Almendras,Venta,KG
Item_312,SPAIN PEELED HAZELNUT,6020,Avellana,Nueces y Almendras,Venta,KG
Item_313,AVELLANA PELADA USA,6020,Avellana,Nueces y Almendras,Venta,KG
Item_314,TOASTED HAZELNUT PIECES,6020,Avellana,Nueces y Almendras,Venta,KG
Item_315,WHOLE ROASTED HAZELNUT,6020,Avellana,Nueces y Almendras,Venta,KG
Item_316,FRIED HAZELNUT PIECE,6020,Avellana,Nueces y Almendras,Venta,KG
Item_317,WHOLE FRIED HAZELNUT,6020,Avellana,Nueces y Almendras,Venta,KG
Item_318,DON LUIS OATS,1201,Avenas,Abarrotes,Venta,KG
Item_319,OAT FLAKES 1A,1201,Avenas,Abarrotes,Venta,KG
Item_320,IMPORTED FLAKE OATS,1201,Avenas,Abarrotes,Venta,KG
Item_321,OATS FOR BIRDS,1222,Aves,Abarrotes,Venta,KG
Item_322,CORN FLAKES,1201,Avenas,Abarrotes,Venta,KG
Item_323,AVENA CHOCOLATE 400g C40PZ,1201,Avenas,Abarrotes,Venta,PZ
Item_324,STRAWBERRY OATS 400g C40PZ,1201,Avenas,Abarrotes,Venta,PZ
Item_325,CINNAMON OATMEAL C40PZ,1201,Avenas,Abarrotes,Venta,PZ
Item_326,NATIONAL SAFFRON,3010,Azafran,Especias,Venta,KG
Item_327,AZAFRAN CHINO,3010,Azafran,Especias,Venta,KG
Item_328,BULK SPANISH SAFFRON,3010,Azafran,Especias,Venta,KG
Item_329,MUSCABAD SUGAR,1205,Azucar,Abarrotes,Venta,KG
Item_330,AZUCAR GLASS,1205,Azucar,Abarrotes,Venta,KG
Item_331,AZUCAR STANDARD BTO 50KG,1205,Azucar,Abarrotes,Venta,KG
Item_332,REFINED SUGAR,1205,Azucar,Abarrotes,Venta,KG
Item_333,BULK MUSCABAD SUGAR,1205,Azucar,Abarrotes,Venta,KG
Item_334,MUSCABAD SUGAR KILO,1205,Azucar,Abarrotes,Venta,KG
Item_335,DULCEREL MUSKSCABAD SUGAR 25K,1205,Azucar,Abarrotes,Venta,PZ
Item_336,GENERIC CAMPECHE COD,7005,Campeche,Productos del Mar,Venta,KG
Item_337,NORWEGIAN CRUMBLED COD,7001,Bacalao,Productos del Mar,Venta,KG
Item_338,NORWEGIAN COD LING 10/20,7001,Bacalao,Productos del Mar,Venta,KG
Item_339,NORWEGIAN COD LING 7/9,7001,Bacalao,Productos del Mar,Venta,KG
Item_340,EXTRA CAMPECHE COD,7005,Campeche,Productos del Mar,Venta,KG
Item_341,FIRST CAMPECHE COD,7005,Campeche,Productos del Mar,Venta,KG
Item_342,CAMPECHE COD 1RA B,7005,Campeche,Productos del Mar,Venta,KG
Item_343,CAMPECHE COD 2ND,7005,Campeche,Productos del Mar,Venta,KG
Item_344,NORWEGIAN COD LING LOIN,7001,Bacalao,Productos del Mar,Venta,KG
Item_345,CAMPECHE COD EXTRA ROTATION,7005,Campeche,Productos del Mar,Venta,KG
Item_346,CAMPECHE COD CLOSEUP,7005,Campeche,Productos del Mar,Venta,KG
Item_347,CAMPECHE COD RETAZO 1RA B,7005,Campeche,Productos del Mar,Venta,KG
Item_348,LANGA COD WITH SKIN,7001,Bacalao,Productos del Mar,Venta,KG
Item_349,NORWEGIAN COD TRAY C/12PZ,7001,Bacalao,Productos del Mar,Venta,PZ
Item_350,SELECTED CUT COD,7001,Bacalao,Productos del Mar,Venta,PZ
